gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus	pattern_A_ge2_fdr05	pattern_B_all3_same_direction_high_percentile	pattern_C_human_recurrence_and_independent_cellline	pattern_D_strong_rna_consensus_weak_crispr	label
EPAS1	0.149728728535667	0.5680609193106956	0.9243328570351124	True	tolerance_associated_KO	5.9473037686576	1.37871850588956e-10	6.14437686554197e-08	True	up_in_TAMR	0.0142550208886947	0.88395924565008	0.967437750215697	-0.199641170495508	0.240870465909652	0.657579217980603	True	False	7.49755691339593	9.14388099023009e-07	5.33238730658102e-05	6.53622906439226	2.33162359879307e-06	9.08705458714236e-05	True	True	False	1.54018987568339	4.42104317273188e-06	0.0163651497737581	True	0.3854570202073081	0.9978231292517008	0.086400533748471	0.6337469340643486	0.3600737339064098	False	0.98290551907527	0.9743893412287196	0.98290551907527	0.999814684407546	5	A	3	3	3	3	0.98290551907527	0.7452148173696469	0.3600737339064098	0.999814684407546	3	3	0	3	3	3	3	0.9978231292517008	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
SLC4A10	-0.0811186226936495	0.8080708766592413	0.9717213996819616	True	sensitising_KO	-1.79650886544087	4.56584541428978e-08	3.17578637831859e-06	True	down_in_TAMR							False		-4.52693826974416	0.0027528559344545	0.0148115705577018	-3.9476021757593	0.0012093363264329	0.0078677926958747	True	True	False	-2.31322351738801	6.91644888419422e-05	0.0463666318039153	True	0.1685163857187729	0.9859863945578232				False	0.8141857057578553	0.8463360473723168	0.8141857057578553	0.9985545383788592	4	B	3	3	2	3	0.9000860501578392	0.7418107561033277	0.1685163857187729	0.9985545383788592	3	0	3	3	3	2	3	0.9859863945578232	all_down	True	True	False	True	resistance_biomarker_or_pathway_candidate
GABBR2	0.1842574992020509	0.5949968823073009	0.9285299753064464	True	tolerance_associated_KO	1.73433298110773	7.80577855331271e-08	4.61442797506191e-06	True	up_in_TAMR							False		4.27267482332268	2.28494769083671e-06	9.6134739832737e-05	3.99727332537971	9.70368664912403e-07	4.8676958819591e-05	True	True	False	2.8974768927314	3.71789870242308e-05	0.0390633924740031	True	0.3594388022196628	0.9834013605442176				False	0.9762847994790254	0.9801134961756724	0.9762847994790254	0.9990734220377304	4	B	3	3	3	3	0.9798430800116216	0.829549596070159	0.3594388022196628	0.9990734220377304	3	3	0	3	3	3	3	0.9834013605442176	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
DMRTA1	-0.0478186965360958	0.8743604206751495	0.98463570784176	True	sensitising_KO	1.66612525298514	1.35847909609319e-07	6.69671522519295e-06	True	up_in_TAMR	0.129659114117763	0.515854009311112	0.814823361441527				True		1.45784459213153	0.0004743945443765	0.0040680049622012	1.35484220100488	0.0002233534976073	0.0022785583079383	True	True	False	2.31285987676122	1.84547553514192e-05	0.0252996241112606	True	0.1125536593026907	0.98	0.3669520738352051		0.3669520738352051	True	0.8834319205513649	0.9020478657784358	0.8834319205513649	0.999295800748675	5	A	3	3	2	3	0.8834319205513649	0.6684466908875871	0.1125536593026907	0.999295800748675	3	3	0	3	3	2	3	0.98	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
LAMB3	0.4263586672189277	0.1218561034403154	0.7675762105551595	True	tolerance_associated_KO	1.98623956140971	8.16514918093033e-06	0.0001408773064495	True	up_in_TAMR	-0.161212345281115	0.101597470642053	0.455931015057405	-0.0578268676060725	0.741133992915659	0.914412650746688	True	True	3.67819351907871	0.0004059010328636	0.0036152461254765	3.10636793385788	0.0003706532267251	0.0033076434578652	True	True	False	1.73734283578094	1.4431189496036e-05	0.0215374992764131	True	0.8413255156528112	0.942108843537415	0.7772156121427777	0.1895108930890203	0.483363252615899	False	0.8877733760243122	0.8879842092277326	0.8877733760243122	0.9994069901041474	5	A	3	3	2	4	0.8877733760243122	0.8307955955869171	0.483363252615899	0.9994069901041474	3	3	0	3	3	2	3	0.942108843537415	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
HLA-DQB1	0.3161325155560064	0.5523489878220377	0.92039532339481	True	tolerance_associated_KO	1.42040464062219	0.0001724145099827	0.0015561353400998	True	up_in_TAMR	0.048426387187672	0.677880307128062	0.893122827972608	0.366800396438443	0.0794633136516907	0.560098840484709	True	True	1.87792948687874	0.0002801767529543	0.0027713887297057	1.2479372112899	0.004843417261776	0.022328638359225	True	True	False	1.95897568565374	4.29419240447451e-05	0.0390633924740031	True	0.399905769029421	0.8889115646258503	0.2410207939508506	0.858966960034627	0.5499938769927388	False	0.8989526238671515	0.7831236121391562	0.8989526238671515	0.998962232682258	5	A	3	3	1	3	0.8889115646258503	0.7473452134394839	0.399905769029421	0.998962232682258	3	3	0	3	3	1	3	0.8989526238671515	all_up	True	True	False	False	resistance_biomarker_or_pathway_candidate
NCF2	0.3491331597503908	0.2372946413324611	0.8116415415593644	True	tolerance_associated_KO	4.89173146818772	3.3910132676725498e-12	8.6203189384681e-09	True	up_in_TAMR	0.448955867715947	0.060279280267658	0.380970981790009	0.860681669081777	0.0004650017261563	0.421434038647359	True	True	6.39928872729772	1.84563597388074e-09	2.00066939568673e-06	6.74015379986362	4.40709280841375e-10	1.27488728104617e-06	True	True	False	-0.0135292295473209	0.983503753336744	0.995724482621608	True	0.7077269395874777	0.9997278911564624	0.8418214166574002	0.999422882700909	0.9206221496791546	False	0.9991317089054106	0.999753269183321	0.9991317089054106	0.0122678922204514	5	A	2	2	3	3	0.9206221496791546	0.7278953163097913	0.0122678922204514	0.9997278911564624	3	2	1	2	2	2	2	0.9991317089054106	majority_up	True	False	False	True	resistance_biomarker_or_pathway_candidate
GREB1	-0.3533095277586469	0.2581044335738207	0.8163859673702398	True	sensitising_KO	-7.14538036307953	3.92575843413266e-13	5.8250403645660415e-09	True	down_in_TAMR	-1.16753809929819	0.0001443281117849	0.0401574753686743	-1.2731126212057	0.0006423443981386	0.421434038647359	True	True	-8.12006079608	4.75734404160909e-09	3.02304606892318e-06	-7.94140156792953	6.688132954048621e-09	3.22718339158927e-06	True	True	False	-4.64120424333962	0.0088229363514546	0.237051976177589	True	0.6839074442466757	1.0	0.9965528744579116	0.998845765401818	0.9976993199298648	False	0.9984804905844684	0.997976807303232	0.9984804905844684	0.9626774396797748	5	A	3	4	4	4	0.9976993199298648	0.9285529388881568	0.6839074442466757	1.0	3	0	3	2	3	3	3	0.9984804905844684	all_down	True	True	True	True	resistance_biomarker_or_pathway_candidate
SPRY4	0.3824885303119218	0.1665548019922584	0.7909727675032434	True	tolerance_associated_KO	5.07151582384541	6.798552811071579e-11	4.06453741983047e-08	True	up_in_TAMR	-0.149855038616583	0.259015305580603	0.637236043754366	-0.0643749201672236	0.790016328541764	0.929474358191842	True	True	7.05023058575436	6.45962587666287e-09	3.67892643880068e-06	7.13866379173143	8.2209329874724e-09	3.41234430091459e-06	True	True	False	1.80310779729195	0.0053532277983257	0.202998506987195	True	0.7901266883048895	0.99843537414966	0.5937951740242411	0.1500504977636705	0.3719228358939558	False	0.9983176860042328	0.9976807303232174	0.9983176860042328	0.973536933397576	5	A	2	3	3	3	0.973536933397576	0.8264679035500629	0.3719228358939558	0.99843537414966	3	3	0	2	3	3	3	0.9983176860042328	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
GFRA1	0.6260486171656119	0.1545930775281771	0.7893096654426276	True	tolerance_associated_KO	-5.16472990661696	6.37237052514868e-12	1.05059148724618e-08	True	down_in_TAMR	-0.232692036062798	0.103312655202453	0.459121539555547	-0.174709120626048	0.553837669799295	0.836821780079378	True	True	-6.51163795906791	1.92733277859046e-07	2.17061711993829e-05	-5.77947563822875	1.42489207395949e-06	6.30499187136749e-05	True	True	False	-6.40699623334473	0.0001535743562726	0.0647800261582162	True	0.8046277876662129	0.9994557823129252	0.775047258979206	0.338262876929736	0.5566550679544711	False	0.9912085526672816	0.9774488033555392	0.9912085526672816	0.9976279604165894	5	A	2	3	3	4	0.9912085526672816	0.869915030203496	0.5566550679544711	0.9994557823129252	3	0	3	2	3	3	3	0.9976279604165894	all_down	True	True	True	True	resistance_biomarker_or_pathway_candidate
